City,"['Latitude', 'Temperature(F)', 'Humidity (%)', 'Cloudiness (%)', 'Wind Speed (mph)']"
Ambilobe,"[-13.19, 89.91, 28, 0, 7.76]"
Turki,"[51.98, 80.19, 62, 12, 8.88]"
Iguape,"[-24.7, 61.56, 100, 92, 1.39]"
Posse,"[-14.08, 80.73, 43, 8, 12.24]"
Kharp,"[66.82, 58.41, 100, 92, 3.96]"
Diego de Almagro,"[-26.39, 46.71, 97, 12, 1.16]"
Kedrovyy,"[56.17, 68, 37, 0, 6.71]"
Plymouth,"[50.37, 65.32, 77, 40, 12.75]"
Gumdag,"[39.2, 100.98, 24, 32, 7.43]"
Toumodi,"[6.56, 78.8, 74, 75, 13.87]"
Angoche,"[-16.23, 80.19, 93, 0, 4.97]"
Aklavik,"[68.22, 48.2, 87, 90, 5.82]"
Juegang,"[32.31, 84.06, 87, 0, 12.46]"
La Mitra,"[8.84, 77, 94, 40, 3.36]"
Teguldet,"[57.31, 63.27, 58, 0, 5.41]"
Jumla,"[29.28, 43.38, 100, 100, 2.39]"
Nhulunbuy,"[-12.18, 73.4, 73, 20, 9.17]"
Torrington,"[42.06, 54.39, 100, 1, 3.36]"
Elbeuf,"[49.29, 85.75, 35, 64, 6.93]"
Murmashi,"[68.82, 51.8, 62, 75, 8.95]"
Gadung,"[-7.32, 80.46, 73, 8, 7.76]"
Lockhart,"[-35.22, 44.6, 75, 75, 7.76]"
Ossora,"[59.24, 53.65, 98, 20, 3.74]"
Ikalamavony,"[-21.17, 77.85, 25, 0, 2.95]"
Port Maria,"[18.37, 84.2, 79, 20, 14.99]"
Ulladulla,"[-35.36, 51.8, 43, 20, 20.8]"
Jacksonville,"[30.33, 73.45, 100, 1, 2.39]"
Abu Samrah,"[35.3, 94.32, 37, 0, 16.49]"
Pangkalanbuun,"[-2.68, 78.4, 80, 56, 4.63]"
Severomuysk,"[56.17, 52.83, 86, 48, 1.72]"
Kropotkin,"[45.43, 97.47, 22, 0, 4.18]"
Zlitan,"[32.47, 89.46, 60, 8, 14.81]"
Yulara,"[-25.24, 53.6, 30, 0, 1.12]"
MBour,"[14.41, 82.4, 65, 40, 6.93]"
Tura,"[25.52, 85.41, 86, 8, 1.95]"
Qinhuangdao,"[39.94, 77.05, 94, 92, 2.73]"
Gerede,"[40.8, 64.26, 92, 56, 1.39]"
Bulgan,"[48.81, 66.33, 67, 88, 2.95]"
Moroni,"[39.52, 46.54, 66, 0, 1.61]"
Biak,"[-0.91, 76.23, 97, 92, 5.75]"
Umm Lajj,"[25.02, 96.21, 57, 0, 14.25]"
Padang,"[-0.92, 77.68, 100, 64, 3.85]"
Luwuk,"[-0.95, 76.23, 97, 92, 5.75]"
Ngunguru,"[-35.62, 57.87, 100, 100, 11.79]"
Romitan,"[39.93, 95, 23, 0, 13.87]"
Pokhara,"[28.21, 72.27, 75, 48, 0.38]"
Itarema,"[-2.92, 83.61, 74, 24, 14.7]"
Havre-Saint-Pierre,"[50.23, 62.6, 100, 90, 3.4]"
Nyrob,"[60.74, 68.76, 72, 24, 11.01]"
Caucaia,"[-3.73, 80.6, 78, 20, 11.41]"
Rapid Valley,"[44.06, 53.17, 100, 1, 3.36]"
Mason City,"[43.15, 62.96, 100, 40, 2.84]"
Vigrestad,"[58.57, 69.8, 73, 40, 14.99]"
Hellvik,"[59.92, 68, 72, 40, 11.41]"
Yumen,"[40.29, 81.27, 32, 0, 7.87]"
Jizan,"[16.89, 98.6, 50, 40, 9.17]"
Linqiong,"[30.42, 84.2, 70, 20, 2.24]"
Alofi,"[-19.06, 71.6, 60, 0, 10.29]"
Portree,"[57.41, 55.08, 100, 68, 16.26]"
Aguimes,"[27.91, 78.8, 69, 20, 32.21]"
Belgrade,"[44.82, 87.8, 43, 0, 5.82]"
Seoul,"[37.57, 88.14, 62, 20, 8.05]"
Norsup,"[-16.07, 73.18, 90, 0, 10.11]"
Kholmogory,"[64.23, 57.2, 62, 75, 15.66]"
Alekseyevka,"[53.25, 84.2, 39, 40, 8.95]"
Ambon,"[47.55, 80.6, 61, 100, 9.17]"
Inirida,"[3.87, 72.55, 97, 56, 2.51]"
Nurota,"[40.56, 95, 16, 0, 18.34]"
Adrar,"[27.87, 104, 17, 48, 19.46]"
Comodoro Rivadavia,"[-45.87, 44.6, 100, 0, 5.82]"
Gazojak,"[41.19, 93.51, 33, 0, 12.8]"
Port Hawkesbury,"[45.62, 64.4, 100, 1, 3.36]"
Puerto Ayacucho,"[5.66, 73.35, 98, 68, 3.4]"
Guatire,"[10.47, 74.97, 89, 20, 2.73]"
Gravdal,"[59.79, 68.86, 68, 40, 16.11]"
Balgazyn,"[51, 67.32, 67, 0, 2.84]"
Angouleme,"[45.65, 80.71, 74, 76, 9.17]"
High Level,"[58.52, 64.4, 59, 20, 2.24]"
Kawalu,"[-7.38, 64.44, 90, 20, 1.61]"
Beloha,"[-25.17, 83.97, 45, 0, 11.23]"
Salina,"[36.29, 75.2, 78, 40, 5.82]"
Cabra,"[37.47, 92.26, 30, 0, 8.05]"
Bar Harbor,"[44.39, 70.88, 88, 1, 3.18]"
Micomeseng,"[2.15, 81, 76, 24, 3.51]"
Havoysund,"[71, 48.2, 87, 75, 20.8]"
Roswell,"[33.39, 69.8, 64, 1, 5.82]"
Miyako,"[33.63, 85.41, 62, 20, 4.7]"
Kutum,"[14.2, 77.76, 94, 76, 6.76]"
Sept-Iles,"[50.2, 64.4, 93, 90, 2.62]"
Plock,"[52.55, 83.35, 42, 0, 4.52]"
Radhanpur,"[23.83, 91.71, 51, 76, 12.46]"
Buluang,"[10.47, 84.2, 74, 75, 11.41]"
Kapitan Ramon,"[10.77, 79.83, 80, 76, 14.47]"
Gat,"[14.69, 85.77, 67, 8, 12.8]"
Walvis Bay,"[-22.95, 60.94, 93, 0, 16.71]"
Kailua,"[21.39, 78.42, 73, 75, 3.36]"
Goryachegorsk,"[55.41, 64.35, 60, 0, 4.74]"
Rybachiy,"[48.71, 89.6, 33, 40, 4.47]"
Novobirilyussy,"[56.95, 64.35, 56, 0, 6.42]"
Bosaso,"[11.28, 86.58, 90, 20, 10.78]"
Bonfim,"[-20.33, 63.48, 88, 0, 4.7]"
Siemiatycze,"[52.43, 78.94, 60, 0, 5.3]"
Port Hardy,"[50.7, 51.8, 100, 90, 1.95]"
Lagoa,"[37.14, 82.4, 39, 0, 8.05]"
Crawfordsville,"[40.04, 68.34, 88, 90, 4.7]"
Fuling,"[29.71, 79.56, 86, 44, 1.16]"
Soyo,"[-6.13, 79.66, 62, 0, 4.18]"
Ustka,"[54.58, 79.3, 67, 8, 7.54]"
Mazatlan,"[23.22, 78.8, 94, 90, 5.82]"
